"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,0,0,1,0,0,1
"2",0,1,0,1,1,0,1,0
"3",1,0,1,1,0,1,1,1
"4",1,0,0,0,0,1,1,0
"5",1,0,0,0,0,1,1,1
"6",0,0,0,0,1,0,0,1
"7",0,0,0,0,1,1,1,1
"8",0,0,1,0,0,1,1,0
"9",0,0,0,0,1,1,0,1
"10",0,1,1,0,1,0,0,0
"11",1,0,0,0,1,0,0,1
"12",1,1,1,0,0,1,1,0
"13",1,1,1,2,1,0,0,0
"14",1,0,0,2,2,1,0,2
"15",0,0,0,0,0,0,0,0
"16",1,1,2,0,0,2,0,0
"17",0,1,0,0,0,2,0,2
"18",0,0,2,0,0,0,0,2
"19",0,2,2,2,0,0,2,2
"20",0,2,2,2,2,2,2,2
"21",2,0,2,0,2,2,2,0
"22",0,0,2,0,2,2,0,2
"23",0,0,2,2,2,2,0,2
"24",0,0,0,2,2,2,2,2
"25",2,0,2,0,2,2,2,2
"26",2,2,0,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,2,2,0,2,2,2,2
"29",0,2,2,2,2,2,2,2
"30",2,2,2,2,0,2,2,2
"31",2,2,2,2,0,2,2,2
"32",2,2,2,2,2,0,2,2
"33",2,2,2,2,2,0,0,2
"34",0,0,2,2,2,2,2,2
"35",2,2,0,0,2,2,2,2
