"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,1,1,0,1,0,2
"2",1,0,1,0,1,1,0,2
"3",0,1,1,0,1,1,0,2
"4",1,1,1,1,1,1,0,0
"5",1,1,1,0,0,0,1,1
"6",1,1,0,1,1,0,0,1
"7",1,1,1,1,1,0,0,0
"8",1,0,1,1,0,0,1,1
"9",1,1,1,0,1,0,1,1
"10",1,1,1,1,1,1,0,0
"11",1,1,1,1,0,0,1,1
"12",1,1,1,1,1,0,0,1
"13",1,1,1,0,0,0,0,0
"14",1,0,1,1,0,0,1,0
"15",1,1,0,0,2,0,0,0
"16",2,2,2,2,1,2,1,1
"17",2,2,2,2,2,2,2,1
"18",2,2,2,2,2,2,2,1
"19",2,2,2,2,2,2,1,1
"20",2,2,2,1,2,2,2,2
"21",2,2,2,2,2,2,2,2
"22",2,2,2,2,2,2,2,2
"23",2,2,2,2,2,2,0,2
"24",0,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,0,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",0,2,2,2,2,2,0,2
"31",2,2,2,2,0,0,2,2
"32",2,2,2,0,2,0,2,2
"33",2,2,2,2,2,2,2,2
"34",2,0,2,2,2,2,2,2
"35",2,2,2,2,2,0,2,2
