"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,0,0,1,1,1
"2",0,0,1,0,0,1,0,0
"3",1,1,0,1,1,2,1,0
"4",1,1,1,0,0,0,0,0
"5",1,1,1,1,1,1,0,1
"6",0,1,0,1,1,0,0,0
"7",0,0,0,1,0,1,0,0
"8",1,1,0,0,1,0,0,0
"9",0,0,0,1,1,1,1,0
"10",0,0,0,0,1,1,0,1
"11",0,0,0,1,0,0,0,0
"12",0,0,0,1,0,0,0,0
"13",0,0,1,0,0,0,0,0
"14",0,2,2,0,0,0,0,1
"15",0,0,2,0,0,2,0,0
"16",2,2,2,0,0,2,2,0
"17",2,2,2,1,0,2,2,0
"18",0,0,2,2,2,2,2,2
"19",2,2,2,2,0,2,2,2
"20",2,2,2,2,2,2,2,2
"21",2,2,2,2,2,2,2,2
"22",2,2,2,2,2,2,2,2
"23",2,2,2,2,2,2,2,2
"24",2,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",0,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,1,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,0,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
