"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,0,0,1,1,1,1
"2",1,1,1,0,1,0,1,1
"3",1,1,1,1,0,1,1,1
"4",1,0,0,1,1,1,1,1
"5",1,0,1,1,1,1,1,1
"6",1,0,0,1,1,1,0,0
"7",1,0,1,0,1,1,1,0
"8",1,1,1,0,1,1,1,0
"9",1,1,1,1,1,1,0,1
"10",0,1,1,1,1,1,0,0
"11",1,1,1,0,1,1,1,1
"12",1,1,1,1,1,1,1,1
"13",1,0,1,1,1,1,1,1
"14",1,1,1,1,1,0,0,1
"15",1,1,1,1,1,0,1,1
"16",1,0,1,1,1,1,1,1
"17",1,1,1,1,2,1,1,1
"18",1,1,1,1,1,2,2,1
"19",1,2,2,2,2,2,2,2
"20",1,2,2,2,2,2,2,1
"21",2,1,2,2,2,2,2,2
"22",2,2,2,2,2,2,2,2
"23",2,2,2,2,2,2,2,2
"24",2,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,1,2,2
"27",2,2,1,1,1,2,2,2
"28",2,1,1,1,0,2,2,2
"29",2,2,1,1,1,1,2,2
"30",2,1,0,1,2,2,2,2
"31",2,2,1,2,2,2,2,2
"32",2,2,2,1,2,2,2,2
"33",2,0,2,2,2,2,2,0
"34",2,2,2,1,1,2,2,1
"35",1,1,1,1,1,2,2,2
