"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0,0,0,0,1,0
"2",0,0,1,0,0,0,0,1
"3",0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,1
"12",0,0,0,0,1,0,0,1
"13",0,0,0,1,1,1,0,1
"14",0,0,0,1,0,1,1,1
"15",0,0,0,0,0,0,0,1
"16",0,0,0,0,1,0,0,1
"17",2,2,2,0,2,0,0,0
"18",0,0,0,0,2,2,2,1
"19",2,1,2,0,0,2,2,0
"20",2,2,0,0,2,0,2,1
"21",0,2,0,0,0,0,2,2
"22",0,0,2,2,0,2,2,2
"23",0,2,2,2,2,2,0,0
"24",2,2,2,2,2,2,2,2
"25",2,0,2,0,2,2,0,0
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,2,0,2,2,0,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,0,0,2
"31",2,2,2,2,2,2,0,0
"32",0,2,2,2,2,2,2,0
"33",2,2,2,2,2,2,2,2
"34",2,2,2,0,2,2,2,0
"35",2,2,2,0,2,2,2,2
