"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,1,1,0,1,1
"2",0,1,0,0,1,1,1,1
"3",1,1,1,0,1,1,0,0
"4",0,1,1,1,1,0,1,1
"5",1,0,1,0,1,1,0,1
"6",1,0,1,0,1,1,0,0
"7",1,0,1,1,1,1,1,1
"8",0,1,1,0,1,1,1,1
"9",0,1,1,1,1,1,0,1
"10",0,1,1,0,0,0,0,1
"11",0,1,0,1,0,0,0,1
"12",0,0,1,0,1,0,0,0
"13",1,0,0,0,0,0,1,1
"14",1,0,0,1,0,0,0,0
"15",1,0,0,1,0,1,0,1
"16",1,1,0,1,1,1,0,1
"17",1,1,1,0,0,0,1,0
"18",2,1,0,0,1,0,1,0
"19",2,2,0,1,0,0,2,0
"20",2,2,2,2,0,0,2,2
"21",2,2,2,2,2,2,0,2
"22",2,2,2,2,2,2,2,2
"23",2,2,2,0,2,0,2,2
"24",2,2,1,1,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,0
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,0,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
