"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0,1,0,0,0,1
"2",0,0,0,0,0,0,0,1
"3",0,0,0,1,1,0,0,1
"4",1,0,0,0,1,1,0,0
"5",0,0,1,1,1,0,0,0
"6",1,0,1,1,0,1,0,0
"7",1,0,0,0,0,0,1,1
"8",0,0,0,1,0,1,0,1
"9",0,1,0,0,1,1,1,1
"10",0,0,0,1,1,1,0,1
"11",0,0,0,0,1,1,0,0
"12",0,0,0,0,0,1,0,1
"13",0,0,0,0,0,0,0,1
"14",0,0,0,1,0,1,1,0
"15",2,2,0,0,0,0,1,0
"16",2,2,2,2,0,1,0,0
"17",2,2,2,0,0,1,2,0
"18",2,2,2,0,0,2,0,2
"19",2,2,2,2,2,2,2,0
"20",2,2,2,2,2,0,2,2
"21",2,2,2,2,2,2,2,2
"22",2,2,2,2,2,2,2,2
"23",2,2,2,2,2,2,2,2
"24",2,2,2,2,0,0,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,0
"28",2,2,2,2,2,2,2,0
"29",2,2,2,2,2,2,2,0
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,0,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
