"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,1,0,0,1,1
"2",0,0,1,1,1,1,1,1
"3",1,0,1,1,1,1,1,1
"4",0,1,1,1,1,0,1,1
"5",1,0,1,1,1,0,1,0
"6",1,1,0,1,0,1,0,0
"7",1,1,1,1,0,1,0,0
"8",1,1,1,1,1,1,1,0
"9",0,1,1,1,1,1,0,0
"10",1,1,1,0,1,1,0,0
"11",1,1,1,0,1,0,0,0
"12",0,1,0,0,1,1,1,0
"13",1,1,1,1,1,1,1,0
"14",1,1,1,1,1,1,0,0
"15",1,0,1,1,0,1,1,1
"16",0,1,1,0,1,1,1,1
"17",1,1,0,1,0,0,0,0
"18",1,0,1,1,0,0,0,1
"19",2,2,1,0,2,2,2,2
"20",1,2,0,1,1,2,2,2
"21",0,2,0,2,1,0,2,2
"22",2,0,2,2,2,2,2,2
"23",2,2,2,1,2,2,2,2
"24",2,0,2,1,2,2,2,2
"25",2,1,1,2,2,0,0,2
"26",1,1,2,2,2,2,2,2
"27",2,2,2,2,0,2,0,2
"28",2,1,2,2,2,2,2,2
"29",2,2,2,2,2,0,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,1,2,0,2
"32",1,2,2,2,2,2,2,2
"33",2,2,2,0,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,0,2
