"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,1,0,1,1,1,1
"2",0,1,1,0,1,0,0,1
"3",0,1,1,1,1,0,0,0
"4",1,1,1,1,0,1,0,0
"5",0,0,1,0,0,0,0,1
"6",0,0,0,0,0,0,0,1
"7",0,0,0,0,0,1,0,0
"8",0,0,0,1,1,1,0,1
"9",0,0,1,1,1,1,1,1
"10",2,2,0,1,1,1,1,1
"11",0,0,1,1,1,1,1,0
"12",0,0,1,1,0,0,0,0
"13",2,0,0,1,1,0,0,1
"14",2,0,0,1,0,0,1,1
"15",1,1,1,1,1,1,0,0
"16",0,1,1,1,0,1,1,1
"17",0,0,0,1,1,0,0,1
"18",0,1,0,0,1,0,1,1
"19",0,0,0,0,0,0,1,0
"20",2,0,0,0,0,0,0,2
"21",0,2,0,0,0,0,2,2
"22",2,0,2,2,2,2,2,2
"23",2,2,2,2,2,2,2,2
"24",2,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,0,2,2,2,2,2
"27",2,2,0,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",0,2,2,2,0,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,0,2,2
"35",2,2,2,2,2,2,2,2
