"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,1,1,1,1,1,1
"2",1,0,1,1,1,1,1,1
"3",1,0,1,1,1,1,1,1
"4",0,1,1,1,0,1,1,0
"5",1,1,1,0,1,1,1,1
"6",1,0,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1
"8",1,1,1,1,0,0,1,1
"9",0,0,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1
"11",1,1,1,1,0,1,1,1
"12",1,1,1,1,1,1,1,0
"13",1,1,1,1,1,1,1,0
"14",1,1,0,1,1,1,1,0
"15",1,1,0,1,1,1,1,1
"16",0,0,1,0,1,1,0,1
"17",0,2,1,0,1,1,0,1
"18",0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0
"22",0,0,2,0,0,0,2,0
"23",2,2,2,2,2,2,2,0
"24",2,2,2,2,2,2,1,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,0,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,0,2,2,2
"30",2,2,2,2,0,2,2,2
"31",2,2,2,2,2,2,2,2
"32",0,0,2,2,2,0,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
