"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,0,0,1,1,1,1
"2",0,1,0,0,1,1,0,0
"3",1,1,0,1,1,1,1,1
"4",0,0,1,0,0,1,0,0
"5",1,0,1,1,0,1,1,1
"6",1,1,1,1,0,0,0,1
"7",0,1,1,0,1,0,1,0
"8",0,1,0,1,1,1,1,0
"9",1,0,0,1,0,1,1,0
"10",1,0,0,0,0,0,1,0
"11",0,0,1,0,0,0,0,0
"12",0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0
"20",0,0,2,0,0,0,0,0
"21",0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,2,0
"23",0,0,2,2,0,2,2,2
"24",2,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,0,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,0
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
