"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1
"3",1,1,0,1,0,0,1,1
"4",1,1,1,0,0,1,0,1
"5",1,0,1,1,1,1,0,1
"6",1,1,0,1,1,0,0,1
"7",1,1,1,1,0,1,1,1
"8",1,1,0,1,1,1,1,0
"9",0,1,1,0,1,0,1,1
"10",1,0,0,0,1,1,1,1
"11",0,1,1,1,1,1,1,0
"12",2,1,1,1,1,0,1,0
"13",1,0,1,0,1,1,1,0
"14",1,0,0,0,0,1,1,1
"15",1,0,0,0,1,1,1,1
"16",1,0,0,0,0,0,1,0
"17",1,1,0,1,1,0,0,1
"18",1,0,0,0,0,1,1,0
"19",1,1,1,1,1,1,1,1
"20",0,0,1,1,0,1,0,0
"21",0,0,2,2,0,0,2,0
"22",0,2,0,1,2,2,2,2
"23",2,0,2,2,2,2,2,2
"24",2,2,2,2,2,2,2,2
"25",0,0,2,2,2,2,2,2
"26",0,2,2,2,2,2,2,2
"27",0,2,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,0
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",0,2,2,2,2,2,2,2
