"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,1,1,1,0,1
"2",0,1,0,1,1,1,1,0
"3",1,0,0,0,0,1,0,1
"4",1,0,0,0,1,1,1,0
"5",1,1,0,0,1,1,1,0
"6",1,0,1,1,0,0,1,1
"7",0,0,0,0,0,1,1,0
"8",0,0,0,1,1,1,1,0
"9",0,1,0,1,0,1,1,1
"10",0,0,1,1,1,0,0,0
"11",0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,1
"13",0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,2,1
"16",2,0,0,0,2,2,2,2
"17",2,2,0,0,0,2,2,2
"18",2,2,2,0,0,2,2,2
"19",2,2,0,2,2,0,2,2
"20",2,2,2,2,0,2,2,2
"21",2,2,2,2,2,2,2,2
"22",1,2,2,2,2,2,2,2
"23",2,2,2,2,2,2,2,2
"24",2,2,2,2,2,2,2,2
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",0,2,0,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,0,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
