"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,0,1,0,1,1,0,1
"2",1,1,0,1,0,1,0,0
"3",0,0,0,1,1,1,1,1
"4",0,1,1,1,1,1,1,1
"5",1,1,1,0,1,0,1,1
"6",1,1,1,0,1,1,1,1
"7",1,1,1,0,1,0,1,1
"8",1,1,1,1,0,0,1,1
"9",1,1,1,1,1,1,1,1
"10",1,1,1,0,1,1,0,0
"11",1,1,0,1,0,0,1,0
"12",0,1,1,1,1,0,1,1
"13",0,1,1,1,1,1,1,1
"14",0,1,1,0,1,1,1,0
"15",0,0,0,1,1,0,1,0
"16",2,0,0,1,1,0,0,0
"17",1,0,0,1,1,0,0,0
"18",1,1,2,2,2,0,0,0
"19",2,2,2,2,2,2,2,2
"20",2,2,2,2,2,1,0,1
"21",2,2,2,2,0,2,1,1
"22",2,2,2,2,1,0,0,1
"23",1,2,2,0,1,0,1,2
"24",0,0,2,2,1,2,1,2
"25",2,2,2,2,2,2,2,0
"26",1,2,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,0,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
