"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,0,1,1,1,0,0
"2",0,0,1,0,0,0,0,0
"3",0,2,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,1,0
"7",0,0,0,0,0,0,1,0
"8",0,0,0,0,1,0,0,0
"9",0,0,0,0,0,0,0,0
"10",0,0,1,1,0,0,0,0
"11",0,1,0,0,0,1,0,0
"12",1,1,0,0,0,1,0,0
"13",0,0,0,0,1,0,1,0
"14",0,0,0,1,1,0,0,0
"15",2,0,1,1,0,0,2,0
"16",2,0,1,1,1,0,2,2
"17",0,0,0,0,0,0,2,2
"18",2,0,0,0,0,0,0,0
"19",0,0,2,0,0,0,0,2
"20",2,0,0,0,0,0,0,2
"21",0,2,0,0,0,0,2,0
"22",2,2,0,0,0,2,2,0
"23",2,0,0,2,2,0,2,2
"24",2,2,0,2,2,2,2,2
"25",2,2,2,2,2,0,2,2
"26",0,2,2,2,2,2,2,2
"27",0,2,0,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,0
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
