"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,1,1,0,0,1,0
"2",1,1,1,1,0,0,0,1
"3",1,1,0,1,1,1,0,1
"4",1,1,1,0,1,0,1,1
"5",1,0,1,1,1,1,1,0
"6",1,1,0,0,1,1,0,1
"7",1,0,0,1,1,1,1,1
"8",1,0,1,1,1,1,0,1
"9",1,1,1,0,1,0,1,1
"10",1,1,1,1,1,1,1,0
"11",1,1,0,0,1,1,1,1
"12",1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,0
"14",0,1,1,0,0,0,1,0
"15",1,1,1,1,0,1,1,1
"16",0,1,1,0,1,1,1,1
"17",0,1,1,1,0,2,2,2
"18",0,1,0,1,1,1,2,2
"19",1,1,1,1,0,0,2,2
"20",1,1,1,0,1,0,2,1
"21",1,1,1,0,1,2,2,2
"22",1,0,1,0,2,2,2,2
"23",0,1,0,0,2,2,2,2
"24",0,2,2,0,2,2,2,2
"25",0,2,2,2,2,2,2,2
"26",2,1,2,2,2,2,2,2
"27",2,2,2,2,2,2,2,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
