"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,1,1,1,1,1,1,1
"2",0,0,1,1,1,1,0,1
"3",0,0,1,1,1,0,1,0
"4",0,1,1,1,1,1,1,1
"5",1,0,1,0,1,1,1,1
"6",1,1,1,0,1,1,0,1
"7",0,0,0,0,1,1,1,1
"8",0,1,1,0,0,0,0,0
"9",1,1,1,1,1,0,1,0
"10",1,0,1,1,1,2,0,0
"11",1,0,0,1,1,1,0,1
"12",1,0,1,0,1,0,1,0
"13",0,1,0,1,1,1,1,0
"14",1,0,0,0,1,1,1,1
"15",1,0,0,1,0,1,1,1
"16",1,0,0,0,1,0,0,1
"17",0,1,1,1,1,1,1,0
"18",1,0,0,0,0,0,0,0
"19",1,1,0,1,0,1,0,0
"20",1,0,0,0,0,0,1,0
"21",1,0,1,0,0,1,0,0
"22",0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0
"26",0,0,0,0,1,1,0,0
"27",2,2,2,0,2,0,0,0
"28",2,2,2,0,2,2,2,0
"29",2,2,2,2,2,2,0,0
"30",2,2,2,2,2,0,1,1
"31",2,2,2,2,0,0,0,1
"32",2,2,2,2,2,1,0,1
"33",2,2,2,2,2,2,0,0
"34",2,2,2,2,2,2,2,0
"35",2,2,0,2,2,2,2,2
