"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0,0,0,1,1,1,0,1
"2",0,1,1,0,1,1,1,1
"3",1,1,0,1,1,1,0,1
"4",0,0,1,1,0,0,0,1
"5",1,0,1,1,1,0,1,1
"6",0,1,1,1,1,1,1,1
"7",1,0,0,1,0,1,0,1
"8",1,1,1,1,1,1,1,0
"9",0,1,1,1,1,1,0,1
"10",0,1,0,0,1,1,0,0
"11",1,1,0,1,1,0,0,0
"12",1,1,0,1,0,1,0,0
"13",1,0,0,1,0,1,0,0
"14",1,0,0,0,0,0,1,0
"15",0,0,0,1,0,0,0,2
"16",0,1,1,0,0,0,0,2
"17",1,0,1,0,0,0,0,0
"18",1,1,1,0,0,0,0,0
"19",0,0,1,1,1,0,0,2
"20",0,1,1,1,1,0,2,2
"21",2,1,0,0,0,0,1,2
"22",1,1,1,1,0,0,0,0
"23",1,0,1,0,0,0,1,2
"24",0,2,0,0,0,0,0,0
"25",0,2,2,0,0,0,0,2
"26",0,0,0,0,0,0,0,0
"27",0,2,0,2,2,0,0,2
"28",2,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2
"33",2,2,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,2
