"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,1,1,1,1,1,0
"2",1,1,1,1,1,1,1,1
"3",0,0,0,0,0,0,1,0
"4",1,0,0,0,1,1,1,1
"5",1,0,1,1,1,0,0,1
"6",1,0,1,1,1,1,1,0
"7",1,1,1,1,1,1,0,1
"8",1,1,0,1,1,1,1,1
"9",0,1,1,1,0,1,1,1
"10",1,1,1,0,1,1,1,1
"11",1,1,1,1,1,0,0,1
"12",1,1,1,1,1,0,1,1
"13",0,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,0,1
"16",1,0,1,0,1,1,1,1
"17",1,1,0,1,1,1,1,1
"18",1,1,1,1,1,1,1,1
"19",2,1,1,1,1,1,0,1
"20",2,0,0,1,1,1,1,1
"21",1,2,1,1,1,1,1,1
"22",2,2,2,1,1,0,1,1
"23",2,2,2,2,1,0,1,1
"24",2,2,2,2,2,1,1,0
"25",2,2,2,2,2,2,2,2
"26",2,2,2,2,2,2,2,2
"27",1,0,2,2,2,2,2,2
"28",0,2,2,2,2,2,2,2
"29",2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2
"31",2,2,2,2,0,1,2,2
"32",0,2,2,0,2,2,2,2
"33",1,1,1,2,2,2,2,2
"34",1,0,2,2,2,2,2,2
"35",2,2,2,2,2,2,1,2
